Bib ID,Object Type,Parent ARK,Item ARK,File Name,Title,Thumbnail,Item Sequence,AltTitle.other,AltTitle.uniform,Author,Place of origin,Date.creation,Date.normalized,Colophon,Description.note,Note,Summary,Representative image,Masthead,Language,References,Provenance,Table of Contents,Format.extent,Type.typeOfResource,Type.genre,Subject topic,Name.repository,AltIdentifier.local,Rights.copyrightStatus,Rights.servicesContact,Text direction,viewingHint,Opac url,Note.admin,IIIF Manifest URL
1240881,Work,ark:/21198/n1r89q,ark:/21198/n1bd0z,,Sokushingi kikigaki furoku | 即身義聞書附録,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1bd0z%2Ffs04fr8c,,即身義聞書附錄 [variant title],,"Dōhan, 1179-1252 | 道範, 1184-1252",,[between 1781 and 1829?],1781/1829,（奥書）「（略）元亀二年卯月廿日於大薬院書之　求深十九歳」,Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,52 leaves ; 234 x 167 mm,text,Manuscripts|~|Early works,"Shingon (Sect)--Doctrines--Early works to 1800|~|Kūkai, 774-835 Sokushin jōbutsu gi | 空海, 774-835 即身成佛義","Richard C. Rudolph East Asian Library, UCLA","BQ8999.K854 S64433|~|Jun Suzuki, no. 0143",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9912408813606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1bd0z/manifest
1242791,Work,ark:/21198/n1r89q,ark:/21198/n16p8h,,Donin yōki | 度人要軌,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn16p8h%2Fhj69004j,,,,"Shūhan, active 1721 | 秀範, active 1721|~|Hōgon | 寶嚴",,Kyōhō 6 [1721] | 享保6,1721,（奥書）「享保六辛丑星九月二日讃州中郡新浜遍照庵以宝厳和尚真筆書写了秀範」,Essential Examples of Liberated Individuals|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,21 unnumbered leaves ; 158 x 154 mm,text,Manuscripts|~|Early works,Ordination (Buddhism)--Japan--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ5220 .D66 1721|~|Jun Suzuki, no. 0153",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9912427913606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn16p8h/manifest
1266484,Work,ark:/21198/n1r89q,ark:/21198/n12w4t,,Daisho denju shiki | 大疏伝授私記,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn12w4t%2Ftt45dr7x,,大疏傳授私記 [variant title]|~|大日經疏傳授私記 [variant title],Dainichikyō sho denju shiki | 大日経疏伝授私記,"Egi, 1679-1747 | 慧曦, 1679-1747|~|Kuwata, Chijin | 桑田知仁",,Keiō 2 [1866] | 慶應2,1866,（奥書）「慶応二年歳次丙寅夏五月二十七日写畢／西讃多度津新町写本所／大島屋内　桑田定五郎知仁」,Private Account of Great Transmitted Commentaries|~|Suzuki subject: 仏教－宗派－真言宗,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,33 unnumbered leaves ; 231 x 165 mm,text,Manuscripts|~|Early works|~|Biographies,"Shingon priests--Biography--Early works to 1800|~|Yixing, 673?-727 Da ri jing shu | 一行, 673?-727 大日經疏","Richard C. Rudolph East Asian Library, UCLA","BQ5030.P73 G46 1691|~|Jun Suzuki, no.0023",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9915044753606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn12w4t/manifest
1488224,Work,ark:/21198/n1r89q,ark:/21198/n1z63m,,Sōfukuki | 僧服記,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1z63m%2Ffx532f6z,,Sōfuku ki [variant title]|~|Sōbuku ki [variant title]|~|Sōbukuki [variant title],,"Funabashi, Tsunekata, active 1688-1703 | 舟橋經賢, active 1688-1703",,[between 1748 and 1750?],1748/1750,（奥書）「右元文二丁巳年改捧物扣　御室仁和寺記録」,Account of Monastic Robes|~|Suzuki subject: 政治・法制－典例・儀式,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,14 unnumbered leaves ; 244 × 170 mm,text,Manuscripts|~|Early works,Clothing and dress--Religious aspects--Buddhism--Early works to 1800|~|Buddhist priests--Clothing--Japan--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ5080 .F86|~|Jun Suzuki, no. 0628",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9914882243606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1z63m/manifest
1503474,Work,ark:/21198/n1r89q,ark:/21198/n1tc9c,,Gendan shū | 玄談集,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1tc9c%2Fmw278m6x,,,,"Toganoo, Chūdō | 栂尾仲道",,1888-[1900?],1888/1900,,,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,66 unnumbered leaves ;  25 cm,text,Manuscripts|~|Early works|~|Abstracts,Buddhism--Doctrines--Early works to 1800--Abstract|~|Buddhism--Discipline--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA",BQ4070 .G46,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9915034743606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1tc9c/manifest
1504475,Work,ark:/21198/n1r89q,ark:/21198/n1pp8v,,Dai segaki shūrui bunge | 大施餓鬼集類分解,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1pp8v%2F0c08672q,,Daisegaki shūrui bunge [variant title],,"Genko, Shikei, 1400-1475 | 原古志稽, 1400-1475",Japan : [s.n.],Genroku 4 [1691] | 元禄4,1691,（刊記）「元禄辛未大呂穀旦」,Analysis of the Varieties of Collected Great Offerings to Hungry Ghosts|~|Suzuki subject: 仏教－総記－概論・雑著,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,"28, 26, 28 leaves ; 278 x 191 mm ",text,Early works,Offering to pretas (Buddhist rite)--Early works to 1800|~|Buddhism--Rituals--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ5030.P73 G46 1691|~|Jun Suzuki, no.0023",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9915044753606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1pp8v/manifest
1748661,Work,ark:/21198/n1r89q,ark:/21198/n1jw45,,Bussetsu himitsu giki shūhōkyō sōmoku | 仏説秘密儀軌衆法経総目,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1jw45%2F4h41f87c,,佛說秘密儀軌衆法經總目 [variant title]|~|Himitsu giki sōmoku | 秘密儀軌総目 [vareient title],Himitsu giki sōmoku | 秘密儀軌総目,,Kyoto : Ōbakusan Hōzōin | 京都 : 黃檗山寶藏院,Kanbun 13 [1673] | 寛文13,1673,,Esoteric Ritual Commentaries |~|Suzuki subject: 漢籍－子部－釈家類,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,18 leaves ; 273 x 191 mm ,text,Early works|~|Bibliographies,Tantric Buddhism--Sacred books--Bibliography--Early works to 1800|~|Tantric Buddhism--Rituals--Bibliography--Early works to 1800|~|Himitsu giki--Bibliography | 秘密儀軌--Bibliography,"Richard C. Rudolph East Asian Library, UCLA","BQ8920 .H5653|~|Jun Suzuki, no.1275",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9917486613606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1jw45/manifest
1787560,Work,ark:/21198/n1r89q,ark:/21198/n1105x,,Rishukyō jūshichidan jūhasshu hōmandara shosetsu fudō ki | 理趣経十七段十八種法曼茶羅諸説不同記,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1105x%2Fsw43zc5x,,理趣經十七叚十八種法曼荼羅諸說不同記 [variant title]|~|理趣經法曼荼羅諸說不同記 [variant title],Rishukyō hōmandara shosetsu fudō ki | 理趣経法曼茶羅諸説不同記,"Ihō, 1687-1747 | 維寶, 1687-1747|~|Kyōō, 1672-1751 | 恭翁, 1672-1751",,Kyōhō 15 [1730] | 享保15,1730,（奥書）「享保九年甲辰秋九月十九宵授与諸徒之刻聊記師承之旨専写古来之図也沙門維宝識」「享保十五歳次辛亥五月十日以維宝之本書写之／持明院主恭翁六十歳」,Suzuki subject: 仏教－総記－図像・縁起,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,26 leaves ; illustrations : 229 x 173 mm,text,Manuscripts|~|Early works,Mandala (Buddhism)--Early works to 1800,"Richard C. Rudolph East Asian Library, UCLA","BQ5125.M3 R5735 1730|~|Jun Suzuki, no.0053",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9917875603606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1105x/manifest
1972914,Work,ark:/21198/n1r89q,ark:/21198/n1w617,,Sho giki denju shidai mokurku | 諸儀軌伝授次第目録,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1w617%2Fsw43zc5x,,諸儀軌傳授次第目錄 [variant title]|~|諸儀軌傳授目錄 [variant title],Sho giki denju mokuroku | 諸儀軌伝授目録,"Jōgon, 1639-1702 | 淨嚴, 1639-1702|~|Jakushō, active 1722-1739 | 寂照, active 1722-1739",,Genbun 4 [1739] | 元文4,1739,,,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,21 leaves ; 27 cm,text,Manuscripts|~|Early works|~|Bibliographies,Tantric Buddhism--Sacred books--Bibliography--Early works to 1800|~|Tantric Buddhism--Rituals--Bibliography--Early works to 1800|~|Himitsu giki--Bibliography | 秘密儀軌--Bibliography,"Richard C. Rudolph East Asian Library, UCLA",BQ8920 .J64 1739,public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9919729143606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1w617/manifest
1975487,Work,ark:/21198/n1r89q,ark:/21198/n1rh0q,,Jōgan seiyō kyakushikimoku : sōkan | 貞観政要格式目 : 僧官,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1rh0q%2Fsw43zc5x,,Jōgan kyaku [variant title] | 貞観格 [variant title],,,Kyoto : Nakano Kozaemon | 京都 : 中野小左衛門,Shōho 5 [1648] | 正保5,1648,（刊記）「正保五年仲春吉旦／中野小左衛門梓刊」,List of Formal Laws Essential to Jōgan Governance: Superintendant Monks|~|Suzuki subject: 仏教－総記－概論・雑著,,,,,jpn|~|chi,,"From the collection of 栂尾祥雲 [Toganoo, Shōun, 1881-1953] ; purchased in 1962.",,23 leaves ; 276 x 192 mm,text,Early works,"Buddhist priests--Legal status, laws, etc.--Japan--Early works to 1800","Richard C. Rudolph East Asian Library, UCLA","BQ678 .J64|~|Jun Suzuki, no.0029",public domain,"http://www.library.ucla.edu/eastasian, (310) 825-4836",right-to-left,paged,https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9919754873606533,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fn1rh0q/manifest
